,date,createdat,event_id,refid,amount,order_detail,status,qty,asset,price
3875,2022-11-11,2022-11-11 20:32:08.177000+05:30,11929,od_UeMheD5C,10.0, Sold 1.00 shares x Y (Rs. 10.00 each),Sold,1.0,Y,10.0
3865,2022-11-11,2022-11-11 20:32:35.338000+05:30,11929,od_UeMheD5C,20.0, Sold 2.00 shares x Y (Rs. 10.00 each),Sold,2.0,Y,10.0
3844,2022-11-11,2022-11-11 20:37:11.591000+05:30,11929,od_Cbi0HIml,9.0, Sold 1.00 shares x Y (Rs. 9.00 each),Sold,1.0,Y,9.0
3831,2022-11-11,2022-11-11 20:40:00.471000+05:30,11929,od_1OlX8Oap,-1260.84, Bought 15.00 shares x N (Rs. 84.00 each),Bought,15.0,N,84.0
3830,2022-11-11,2022-11-11 20:40:04.505000+05:30,11929,od_1OlX8Oap,1176.0, Cancelled 14.00 shares x N (Rs. 84.00 each),Cancelled,14.0,N,84.0
3829,2022-11-11,2022-11-11 20:40:05.833000+05:30,11929,od_yNeyfMmo,-1260.0, Bought 15.00 shares x N (Rs. 84.00 each),Bought,15.0,N,84.0
3813,2022-11-11,2022-11-11 20:42:07.038000+05:30,11929,od_UlBYUmsp,84.15, Sold 1.00 shares x N (Rs. 85.00 each),Sold,1.0,N,85.0
3812,2022-11-11,2022-11-11 20:42:09.489000+05:30,11929,od_yNeyfMmo,1260.0, Cancelled 15.00 shares x N (Rs. 84.00 each),Cancelled,15.0,N,84.0
3811,2022-11-11,2022-11-11 20:42:10.828000+05:30,11929,od_rzuRnVIt,-1204.0, Bought 14.00 shares x N (Rs. 86.00 each),Bought,14.0,N,86.0
3802,2022-11-11,2022-11-11 20:44:10.557000+05:30,11929,od_kOGManhq,86.13, Sold 1.00 shares x N (Rs. 87.00 each),Sold,1.0,N,87.0
3801,2022-11-11,2022-11-11 20:44:10.557000+05:30,11929,od_kOGManhq,86.13, Sold 2.00 shares x N (Rs. 87.00 each),Sold,2.0,N,87.0
3800,2022-11-11,2022-11-11 20:44:13.126000+05:30,11929,od_rzuRnVIt,1032.0, Cancelled 12.00 shares x N (Rs. 86.00 each),Cancelled,12.0,N,86.0
3799,2022-11-11,2022-11-11 20:44:14.516000+05:30,11929,od_snOp4PaP,-1144.88, Bought 13.00 shares x N (Rs. 88.00 each),Bought,13.0,N,88.0
3798,2022-11-11,2022-11-11 20:44:16.991000+05:30,11929,od_Fx794Vu7,86.13, Sold 1.00 shares x N (Rs. 87.00 each),Sold,1.0,N,87.0
3786,2022-11-11,2022-11-11 20:46:16.113000+05:30,11929,od_r3VCaVzK,-181.2, Bought 15.00 shares x Y (Rs. 12.00 each),Bought,15.0,Y,12.0
3785,2022-11-11,2022-11-11 20:46:22.657000+05:30,11929,od_r3VCaVzK,60.0, Cancelled 5.00 shares x Y (Rs. 12.00 each),Cancelled,5.0,Y,12.0
3784,2022-11-11,2022-11-11 20:46:23.997000+05:30,11929,od_JvWsVFy7,-180.0, Bought 15.00 shares x Y (Rs. 12.00 each),Bought,15.0,Y,12.0
3775,2022-11-11,2022-11-11 20:48:29.855000+05:30,11929,od_mZfxNAfl,-243.0, Bought 3.00 shares x N (Rs. 81.00 each),Bought,3.0,N,81.0
3774,2022-11-11,2022-11-11 20:48:32.347000+05:30,11929,od_JvWsVFy7,180.0, Cancelled 15.00 shares x Y (Rs. 12.00 each),Cancelled,15.0,Y,12.0
3764,2022-11-11,2022-11-11 20:50:39.581000+05:30,11929,od_KFTh1483,-55.0, Bought 5.00 shares x Y (Rs. 11.00 each),Bought,5.0,Y,11.0
3763,2022-11-11,2022-11-11 20:50:42.063000+05:30,11929,od_mZfxNAfl,243.0, Cancelled 3.00 shares x N (Rs. 81.00 each),Cancelled,3.0,N,81.0
3751,2022-11-11,2022-11-11 20:56:37.748000+05:30,11929,od_HtInF2gb,65.0, Sold 5.00 shares x Y (Rs. 13.00 each),Sold,5.0,Y,13.0
3742,2022-11-11,2022-11-11 21:01:31.961000+05:30,11929,od_Q5PfthMc,-269.67, Bought 3.00 shares x N (Rs. 89.00 each),Bought,3.0,N,89.0
3741,2022-11-11,2022-11-11 21:01:34.408000+05:30,11929,od_KFTh1483,55.0, Cancelled 5.00 shares x Y (Rs. 11.00 each),Cancelled,5.0,Y,11.0
3723,2022-11-11,2022-11-11 21:04:48.325000+05:30,11929,od_Do157REW,89.0, Sold 1.00 shares x N (Rs. 89.00 each),Sold,1.0,N,89.0
